date,time,message
6/10/2026,11:17,lmao
6/10/2026,11:19,lol the preset checkpoints where made when the mod had like 3 users idk iff they are accurate at all
6/10/2026,11:19,@Kittie1786_ there was a time when I was the only user to cheat with it
6/10/2026,11:20,because I was stuck at MM
6/10/2026,11:20,@Kittie1786_ yeah
6/10/2026,11:21,@Kittie1786_ yeah it was the unity 6 game update
6/10/2026,11:22,Im glad no one can use the og practice mods they were so bad
6/10/2026,11:22,The new UI isnt good but the old one was unusable
6/10/2026,11:23,@Kittie1786_ did you use the mod when no clip was just teleporting a set distance were the camera was looking
6/10/2026,11:26,I think you auto ragdoll yeah
6/10/2026,11:30,"The old way I ""disabled ragdoll"" was to just exit ragdoll the frame it is entered so there might be 1 frame of ragdoll I can't remember if I fixed that"
6/10/2026,11:31,oh lol I sent you the flasho version
6/10/2026,11:31,Its a version of the mod made for flasho since his stream overlay is over the normal watermark and the menu says flasho edition
6/10/2026,11:32,very preimium stuff
6/10/2026,11:33,It looks real haha
6/10/2026,11:35,The wall ragdolls
6/10/2026,11:35,wait that kinda work
6/10/2026,11:36,oh yeah the game pauses while menu is open
6/10/2026,11:36,you can turn it off in the settings
6/10/2026,11:37,you need physics mode on
6/10/2026,11:37,K
6/10/2026,11:37,you have no clip movement without no clip
6/10/2026,11:37,look up
6/10/2026,11:38,yeah Ive done this before
6/10/2026,11:38,its kinda fun
6/10/2026,11:38,if you are in the air a long time you go so fast down
6/10/2026,11:39,shift
6/10/2026,11:40,there used to be a glitch similar to this where you had no clip but still had gravity so you would fly around in no clip but you would get pulled down faster and faster and you couldnt do anything
6/10/2026,11:40,@Kittie1786_ what
6/10/2026,11:43,wtf are you watching lmao
6/10/2026,11:44,music a little loud
6/10/2026,11:44,compare to the others talking
6/10/2026,11:56,I havent said nothin
6/10/2026,11:59,"was 6:57 intentional since 6:70 and 6:07 is impossible, and its the closes possible currently to 6 7"
6/10/2026,12:01,A national emergency test alarm went off and I thought I was getting nuked while watching the Jide world record run
6/10/2026,12:02,We border russia
6/10/2026,12:02,I served in the border town from Norway to Russia
6/10/2026,12:09,@DaGreenestBean lol
6/10/2026,12:09,If you beat the game right now you would have world record
6/10/2026,12:15,Ihi played before all this woke new DEI strats
6/10/2026,12:19,Lowgrab quints are inclusive and woke if you think about it
6/10/2026,12:21,WORLD RECORD
6/10/2026,12:22,the lowgrab quint woke comment had context that made it make sense
6/10/2026,12:25,Watching Ihi run gtw again is like watching a drug addict relapse
6/10/2026,12:32,top grabs look so cool
6/10/2026,12:33,Do yall think a sm64 runner would beat gtw sm64 faster or slower than gtw players that knows the map and cogs + launchpads
6/10/2026,12:35,"I tried to make them work like in game, but they are prob really buggy and I think they ended up stronger than in the regular game"
6/10/2026,12:36,Im gonna make a sm64 character + sm64 map so its just super mario 64 but you launch it with the get to work.exe
6/10/2026,12:45,This is a very late reply to the question Kittie had about how the mod works
6/10/2026,12:46,"Some smart nerd did the hard part and decompiled SM64 so I have Mario as a thing I basically copied from SuperMario64 with his real physics, model, and sounds, fed by an actual ROM. I run that inside Get To Work and mirror the game's terrain into Mario's collision world every frame, while an invisible stand in for the original character follows him around so the game still thinks its player is there. So the adding the map would just be playing the rom fully"
6/10/2026,12:48,Summoning salt only makes video if games are 20 years old +
6/10/2026,13:00,Kinda rude to hit jide just cuz he took your record
6/10/2026,13:10,ass offs
6/10/2026,13:13,Kittie had a kalshi bet on losing
6/10/2026,13:17,isnt zsg the same as the raked filter?
6/10/2026,13:17,it was something jide metnioned
6/11/2026,02:16,baldie
6/11/2026,02:17,!followage
6/11/2026,21:08,Hello everybodey
6/11/2026,21:09,Flashos practice is all kinds of fuck bro
6/11/2026,21:09,I dont know how it happend
6/11/2026,21:10,Im working on the mario mod rn and a little side project for ivy so practice mod is kinda in the back of my mind
6/11/2026,21:11,Its not like a secret its the graph yeahg
6/11/2026,21:12,I downloaded every get to work run its kinda fun to make graphs
6/11/2026,21:16,I made a graph of speedrun.com submissions and you can see when the levels come out and 20x submission amount
6/11/2026,21:29,Ivy Im sending you a pic can you see if this is what you had in mind(ingore that it look kinda wack Il fix that later)
6/11/2026,21:33,Are you guys the only get to work beans?
6/11/2026,21:45,oh shit I didnt send Ivy the screeshot
6/11/2026,21:47,W
6/11/2026,22:21,Oh this isnt you
6/11/2026,22:26,I bet Ivy made violent threats to make him buy her peak Madge
6/11/2026,22:28,You can quint as super mario lol
6/11/2026,22:31,WHATT
6/11/2026,22:31,Ivy
6/11/2026,22:31,My grandma is from finish
6/11/2026,22:32,Im Norwegian tho
6/11/2026,22:33,I'm 20 and I think Ivy is 19 because I'm one year older than Ivy
6/11/2026,22:33,Ivy could learn a lot from us wise olds
6/11/2026,22:33,Are you not like 19
6/11/2026,22:34,Would be embarrassing if you are older than me
6/11/2026,22:34,Fuck
6/11/2026,22:34,Unc
6/11/2026,22:35,The legal drinking age in Norway is 18 and it is 21 in America. I'm 2 years older than you if you think about it like that
6/11/2026,22:37,Yeah if only you guys were as old as me you wouldnt have to worry about this
6/11/2026,22:37,What is stoners pb?
6/11/2026,22:38,Ivys pb is higher than yours then Stoner
6/11/2026,22:40,The best drug is a good night sleep
6/11/2026,22:40,And alcohol maybe
6/11/2026,22:42,We need a 50 year old that plays get to work
6/11/2026,22:43,Isnt dullfin 40
6/11/2026,22:43,Lol
6/11/2026,22:43,I knew you were lurking
6/11/2026,22:45,Who is the youngest gtw player
6/11/2026,22:45,During pride month there can be 2 trans players but after that Isto only allows one
